From      80 to     250 with      10 spectra per file.
From      80 to     250 with      10 spectra per file.
      40     -51.0288      40.6636       2457142.4
      41     -49.4047      42.2507       2457142.4
      42     -47.6974      43.8137       2457142.4
      43     -45.8992      45.3499       2457142.4
      44     -44.0016      46.8563       2457142.4
      45     -41.9957      48.3296       2457142.4
      46     -39.8719      49.7660       2457142.4
      47     -37.6204      51.1612       2457142.4
      48     -35.2309      52.5105       2457142.4
      49     -32.6930      53.8086       2457142.4
      50     -29.9965      55.0498       2457142.4
      51     -27.1321      56.2277       2457142.4
      52     -24.0917      57.3353       2457142.4
      53     -20.8691      58.3652       2457142.4
      54     -17.4612      59.3093       2457142.4
      55     -13.8687      60.1596       2457142.4
      56     -10.0973      60.9077       2457142.4
      57     -6.15842      61.5455       2457142.4
      58     -2.06999      62.0653       2457142.4
      59      2.14337      62.4605       2457142.4
      60      6.45081      62.7257       2457142.4
      61      10.8164      62.8569       2457142.4
      62      15.2008      62.8523       2457142.4
      63      19.5636      62.7119       2457142.4
      64      23.8657      62.4377       2457142.4
      65      28.0715      62.0338       2457142.4
      66      32.1504      61.5057       2457142.4
      67      36.0784      60.8602       2457142.4
      68      39.8380      60.1049       2457142.4
      69      43.4180      59.2479       2457142.4
      70      46.8133      58.2977       2457142.4
      71      50.0233      57.2623       2457142.4
      72      53.0515      56.1497       2457142.4
      73      55.9042      54.9673       2457142.4
      74      58.5895      53.7220       2457142.4
      75      61.1170      52.4202       2457142.4
      76      63.4969      51.0676       2457142.4
      77      65.7393      49.6694       2457142.4
      78      67.8547      48.2305       2457142.4
      79      69.8530      46.7548       2457142.4
      80      71.7435      45.2462       2457142.4
      81      73.5353      43.7081       2457142.4
      82      75.2367      42.1434       2457142.4
      83      76.8554      40.5547       2457142.4
      84      78.3986      38.9446       2457142.4
      85      79.8728      37.3150       2457142.4
      86      81.2841      35.6679       2457142.4
      87      82.6381      34.0050       2457142.4
      88      83.9398      32.3279       2457142.4
      89      85.1940      30.6378       2457142.4
      90      86.4050      28.9362       2457142.4
      91      87.5767      27.2240       2457142.4
      92      88.7128      25.5024       2457142.4
      93      89.8167      23.7723       2457142.4
      94      90.8916      22.0346       2457142.4
      95      91.9404      20.2900       2457142.4
      96      92.9658      18.5393       2457142.4
      97      93.9703      16.7832       2457142.4
      98      94.9564      15.0224       2457142.4
      99      95.9263      13.2573       2457142.4
     100      96.8823      11.4886       2457142.4
     101      97.8263      9.71687       2457142.4
     102      98.7603      7.94257       2457142.4
     103      99.6863      6.16619       2457142.4
     104      100.606      4.38823       2457142.4
     105      101.522      2.60915       2457142.4
     106      102.434     0.829398       2457142.4
     107      103.347    -0.950562       2457142.4
     108      104.259     -2.73027       2457142.4
     109      105.175     -4.50929       2457142.4
     110      106.095     -6.28716       2457142.4
     111      107.022     -8.06341       2457142.4
     112      107.957     -9.83756       2457142.4
     113      108.901     -11.6091       2457142.4
     114      109.858     -13.3776       2457142.4
     115      110.829     -15.1424       2457142.4
     116      111.816     -16.9029       2457142.4
     117      112.822     -18.6587       2457142.4
     118      113.849     -20.4090       2457142.4
     119      114.900     -22.1531       2457142.4
     120      115.976     -23.8904       2457142.4
     121      117.082     -25.6199       2457142.4
     122      118.221     -27.3409       2457142.4
     123      119.395     -29.0523       2457142.4
     124      120.609     -30.7532       2457142.4
     125      121.866     -32.4425       2457142.4
