From     230 to     250 with      20 spectra per file.
     115      110.829     -15.1424       2457142.5
     116      111.816     -16.9029       2457142.5
     117      112.822     -18.6587       2457142.5
     118      113.849     -20.4090       2457142.5
     119      114.900     -22.1531       2457142.5
     120      115.976     -23.8904       2457142.5
     121      117.082     -25.6199       2457142.5
     122      118.221     -27.3409       2457142.5
     123      119.395     -29.0523       2457142.5
     124      120.609     -30.7532       2457142.5
     125      121.866     -32.4425       2457142.5
