From       0 to     250 with      10 spectra per file.
       0     -93.5950     -28.9362       2457143.9
       1     -92.4233     -27.2240       2457143.9
       2     -91.2872     -25.5024       2457143.9
       3     -90.1832     -23.7723       2457143.9
       4     -89.1084     -22.0346       2457143.9
       5     -88.0596     -20.2900       2457143.9
       6     -87.0342     -18.5393       2457143.9
       7     -86.0297     -16.7832       2457143.9
       8     -85.0436     -15.0224       2457143.9
       9     -84.0737     -13.2573       2457143.9
      10     -83.1177     -11.4886       2457143.9
      11     -82.1737     -9.71687       2457143.9
      12     -81.2397     -7.94256       2457143.9
      13     -80.3137     -6.16619       2457143.9
      14     -79.3938     -4.38823       2457143.9
      15     -78.4784     -2.60914       2457143.9
      16     -77.5655    -0.829398       2457143.9
      17     -76.6535     0.950558       2457143.9
      18     -75.7405      2.73027       2457143.9
      19     -74.8248      4.50930       2457143.9
      20     -73.9046      6.28716       2457143.9
      21     -72.9781      8.06341       2457143.9
      22     -72.0434      9.83756       2457143.9
      23     -71.0987      11.6091       2457143.9
      24     -70.1419      13.3776       2457143.9
      25     -69.1709      15.1424       2457143.9
      26     -68.1836      16.9029       2457143.9
      27     -67.1778      18.6587       2457143.9
      28     -66.1509      20.4090       2457143.9
      29     -65.1004      22.1531       2457143.9
      30     -64.0237      23.8904       2457143.9
      31     -62.9176      25.6199       2457143.9
      32     -61.7792      27.3409       2457143.9
      33     -60.6049      29.0524       2457143.9
      34     -59.3911      30.7532       2457143.9
      35     -58.1338      32.4424       2457143.9
      36     -56.8287      34.1187       2457143.9
      37     -55.4710      35.7805       2457143.9
      38     -54.0556      37.4265       2457143.9
      39     -52.5769      39.0548       2457143.9
      40     -51.0288      40.6636       2457143.9
      41     -49.4047      42.2507       2457143.9
      42     -47.6974      43.8137       2457143.9
      43     -45.8992      45.3499       2457143.9
      44     -44.0016      46.8563       2457143.9
      45     -41.9957      48.3296       2457143.9
      46     -39.8719      49.7660       2457143.9
      47     -37.6204      51.1612       2457143.9
      48     -35.2309      52.5105       2457143.9
      49     -32.6930      53.8086       2457143.9
      50     -29.9965      55.0498       2457143.9
      51     -27.1321      56.2277       2457143.9
      52     -24.0917      57.3353       2457143.9
      53     -20.8691      58.3652       2457143.9
      54     -17.4612      59.3093       2457143.9
      55     -13.8687      60.1596       2457143.9
      56     -10.0973      60.9077       2457143.9
      57     -6.15842      61.5455       2457143.9
      58     -2.06999      62.0653       2457143.9
      59      2.14337      62.4605       2457143.9
      60      6.45081      62.7257       2457143.9
      61      10.8164      62.8569       2457143.9
      62      15.2008      62.8523       2457143.9
      63      19.5636      62.7119       2457143.9
      64      23.8657      62.4377       2457143.9
      65      28.0715      62.0338       2457143.9
      66      32.1504      61.5057       2457143.9
      67      36.0784      60.8602       2457143.9
      68      39.8380      60.1049       2457143.9
      69      43.4180      59.2479       2457143.9
      70      46.8133      58.2977       2457143.9
      71      50.0233      57.2623       2457143.9
      72      53.0515      56.1497       2457143.9
      73      55.9042      54.9673       2457143.9
      74      58.5895      53.7220       2457143.9
      75      61.1170      52.4202       2457143.9
      76      63.4969      51.0676       2457143.9
      77      65.7393      49.6694       2457143.9
      78      67.8547      48.2305       2457143.9
      79      69.8530      46.7548       2457143.9
      80      71.7435      45.2462       2457143.9
      81      73.5353      43.7081       2457143.9
      82      75.2367      42.1434       2457143.9
      83      76.8554      40.5547       2457143.9
      84      78.3986      38.9446       2457143.9
      85      79.8728      37.3150       2457143.9
      86      81.2841      35.6679       2457143.9
      87      82.6381      34.0050       2457143.9
      88      83.9398      32.3279       2457143.9
      89      85.1940      30.6378       2457143.9
      90      86.4050      28.9362       2457143.9
      91      87.5767      27.2240       2457143.9
      92      88.7128      25.5024       2457143.9
      93      89.8167      23.7723       2457143.9
      94      90.8916      22.0346       2457143.9
      95      91.9404      20.2900       2457143.9
      96      92.9658      18.5393       2457143.9
      97      93.9703      16.7832       2457143.9
      98      94.9564      15.0224       2457143.9
      99      95.9263      13.2573       2457143.9
     100      96.8823      11.4886       2457143.9
     101      97.8263      9.71687       2457143.9
     102      98.7603      7.94257       2457143.9
     103      99.6863      6.16619       2457143.9
     104      100.606      4.38823       2457143.9
     105      101.522      2.60915       2457143.9
     106      102.434     0.829398       2457143.9
     107      103.347    -0.950562       2457143.9
     108      104.259     -2.73027       2457143.9
     109      105.175     -4.50929       2457143.9
     110      106.095     -6.28716       2457143.9
     111      107.022     -8.06341       2457143.9
     112      107.957     -9.83756       2457143.9
     113      108.901     -11.6091       2457143.9
     114      109.858     -13.3776       2457143.9
     115      110.829     -15.1424       2457143.9
     116      111.816     -16.9029       2457143.9
     117      112.822     -18.6587       2457143.9
     118      113.849     -20.4090       2457143.9
     119      114.900     -22.1531       2457143.9
     120      115.976     -23.8904       2457143.9
     121      117.082     -25.6199       2457143.9
     122      118.221     -27.3409       2457143.9
     123      119.395     -29.0523       2457143.9
     124      120.609     -30.7532       2457143.9
     125      121.866     -32.4425       2457143.9
